exp_ID;Workload Level;Block Size;Block Creation Interval;TFL;TPS;Number of Validating Nodes;first_block;last_block;number_of_blocks;total_number_of_blocks_per_exp;BPR;Gini;HHI
tezosExp_1005;100;1575104;11;14.26;23.38;113;102;108;7;54;43.175893904884;2.56684062946992E-05;125.000000294175
tezosExp_1005;105;1575104;11;12.8;19.84;113;77;83;7;54;43.175893904884;2.56684062946992E-05;125.000000294175
tezosExp_1006;10;3968509;33;17.94;8.45;91;53;56;4;35;32.5445433762277;1.80640339231309E-05;181.818182010833
tezosExp_1006;25;3968509;33;17.57;21.15;91;77;82;6;35;39.6914000530914;1.80640339231309E-05;181.818182010833
tezosExp_1006;40;3968509;33;17.01;33.85;91;38;40;3;35;27.6457000265457;1.80640339231309E-05;181.818182010833
tezosExp_1006;55;3968509;33;17.32;31.05;91;27;28;2;35;21.4722716881138;1.80640339231309E-05;181.818182010833
tezosExp_1006;70;3968509;33;20.69;26.97;91;45;48;4;35;32.5445433762277;1.80640339231309E-05;181.818182010833
tezosExp_1006;85;3968509;33;23.12;28.08;91;32;33;2;35;21.4722716881138;1.80640339231309E-05;181.818182010833
tezosExp_1006;90;3968509;33;29.45;30.5;91;61;64;4;35;32.5445433762277;1.80640339231309E-05;181.818182010833
tezosExp_1006;95;3968509;33;28.08;30.76;91;21;22;2;35;21.4722716881138;1.80640339231309E-05;181.818182010833
tezosExp_1006;100;3968509;33;35.47;25.34;91;69;72;4;35;32.5445433762277;1.80640339231309E-05;181.818182010833
tezosExp_1006;105;3968509;33;29.25;32.18;91;87;90;4;35;32.5445433762277;1.80640339231309E-05;181.818182010833
tezosExp_1007;10;7311532;16;8.67;32.13;64;123;134;12;79;26.4310432157743;2.27974471261474E-05;178.571428864993
tezosExp_1007;25;7311532;16;8.64;53.63;64;77;86;10;79;24.1567809886764;2.27974471261474E-05;178.571428864993
tezosExp_1007;40;7311532;16;9.12;64.34;64;91;104;14;79;28.3138929139629;2.27974471261474E-05;178.571428864993
tezosExp_1007;55;7311532;16;15.23;58.98;64;29;30;2;79;8.59346754135024;2.27974471261474E-05;178.571428864993
tezosExp_1007;70;7311532;16;18.97;49.31;64;53;58;6;79;18.076281101558;2.27974471261474E-05;178.571428864993
tezosExp_1007;85;7311532;16;63.1;49.79;64;140;150;11;79;25.3471112303294;2.27974471261474E-05;178.571428864993
tezosExp_1007;90;7311532;16;32.79;38.24;64;110;117;8;79;21.4118448489453;2.27974471261474E-05;178.571428864993
tezosExp_1007;95;7311532;16;105.38;48.72;64;36;38;3;79;11.4685202976145;2.27974471261474E-05;178.571428864993
tezosExp_1007;100;7311532;16;91.23;39.06;64;44;47;4;79;13.9464287535866;2.27974471261474E-05;178.571428864993
tezosExp_1007;105;7311532;16;85.87;44.57;64;64;72;9;79;22.8493786091043;2.27974471261474E-05;178.571428864993
tezosExp_1008;10;2409916;62;34.21;2.73;30;58;59;2;20;9.96578428466209;0.000010981308212545;370.370370509878
tezosExp_1008;25;2409916;62;32.1;6.84;30;53;54;2;20;9.96578428466209;0.000010981308212545;370.370370509878
tezosExp_1008;40;2409916;62;31.58;10.94;30;38;39;2;20;9.96578428466209;0.000010981308212545;370.370370509878
tezosExp_1008;55;2409916;62;33.23;15.05;30;43;44;2;20;9.96578428466209;0.000010981308212545;370.370370509878
tezosExp_1008;70;2409916;62;32.71;19.15;30;33;34;2;20;9.96578428466209;0.000010981308212545;370.370370509878
tezosExp_1008;85;2409916;62;32.34;23.26;30;23;24;2;20;9.96578428466209;0.000010981308212545;370.370370509878
tezosExp_1008;90;2409916;62;31.85;24.63;30;68;69;2;20;9.96578428466209;0.000010981308212545;370.370370509878
tezosExp_1008;95;2409916;62;32.5;25.98;30;48;49;2;20;9.96578428466209;0.000010981308212545;370.370370509878
tezosExp_1008;100;2409916;62;31.12;26.48;30;28;29;2;20;9.96578428466209;0.000010981308212545;370.370370509878
tezosExp_1008;105;2409916;62;31.13;26.78;30;63;64;2;20;9.96578428466209;0.000010981308212545;370.370370509878
tezosExp_1009;10;4580976;37;19.54;8.7;33;98;99;2;22;10.3782948559119;1.49526270295524E-05;312.500000237599
tezosExp_1009;25;4580976;37;19.09;21.78;33;65;66;2;22;10.3782948559119;1.49526270295524E-05;312.500000237599
tezosExp_1009;40;4580976;37;18.98;23.24;33;47;49;3;22;12.9351110306226;1.49526270295524E-05;312.500000237599
tezosExp_1009;55;4580976;37;18.96;47.95;33;56;57;2;22;10.3782948559119;1.49526270295524E-05;312.500000237599
tezosExp_1009;70;4580976;37;19.2;61.03;33;106;108;3;22;12.9351110306226;1.49526270295524E-05;312.500000237599
tezosExp_1009;85;4580976;37;18.67;70.65;33;90;91;2;22;10.3782948559119;1.49526270295524E-05;312.500000237599
tezosExp_1009;90;4580976;37;18.26;73.27;33;82;83;2;22;10.3782948559119;1.49526270295524E-05;312.500000237599
tezosExp_1009;95;4580976;37;17.47;74.05;33;73;74;2;22;10.3782948559119;1.49526270295524E-05;312.500000237599
